2025-02-28 14:26:34 - Machine initialized with clock rate: 23 ticks/second
2025-02-28 14:26:44 - Internal event, Logical clock: 626
2025-02-28 14:26:44 - Sent message to Machine 0, Logical clock: 627
2025-02-28 14:26:44 - Received message from Machine 1, Queue length: 0, Logical clock: 635
2025-02-28 14:26:44 - Sent message to Machine 1, Logical clock: 636
2025-02-28 14:26:44 - Received message from Machine 1, Queue length: 1, Logical clock: 642
2025-02-28 14:26:44 - Received message from Machine 1, Queue length: 2, Logical clock: 643
2025-02-28 14:26:44 - Received message from Machine 1, Queue length: 2, Logical clock: 645
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 2, Logical clock: 646
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 1, Logical clock: 650
2025-02-28 14:26:45 - Received message from Machine 0, Queue length: 2, Logical clock: 654
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 1, Logical clock: 659
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 1, Logical clock: 660
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 2, Logical clock: 667
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 2, Logical clock: 669
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 3, Logical clock: 670
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 3, Logical clock: 673
2025-02-28 14:26:45 - Received message from Machine 0, Queue length: 4, Logical clock: 674
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 4, Logical clock: 680
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 3, Logical clock: 682
2025-02-28 14:26:45 - Received message from Machine 0, Queue length: 5, Logical clock: 683
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 5, Logical clock: 687
2025-02-28 14:26:45 - Received message from Machine 0, Queue length: 4, Logical clock: 689
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 4, Logical clock: 695
2025-02-28 14:26:45 - Received message from Machine 0, Queue length: 5, Logical clock: 697
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 7, Logical clock: 699
2025-02-28 14:26:45 - Received message from Machine 0, Queue length: 7, Logical clock: 701
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 7, Logical clock: 709
2025-02-28 14:26:45 - Received message from Machine 1, Queue length: 7, Logical clock: 711
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 6, Logical clock: 713
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 6, Logical clock: 714
2025-02-28 14:26:46 - Received message from Machine 0, Queue length: 7, Logical clock: 715
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 6, Logical clock: 717
