2025-02-28 14:32:09 - Machine initialized with clock rate: 13 ticks/second
2025-02-28 14:32:11 - Internal event, Logical clock: 1
2025-02-28 14:32:27 - Received message from Machine 1, Queue length: 11, Logical clock: 664
2025-02-28 14:32:27 - Received message from Machine 1, Queue length: 10, Logical clock: 668
2025-02-28 14:32:27 - Received message from Machine 2, Queue length: 10, Logical clock: 673
2025-02-28 14:32:27 - Received message from Machine 2, Queue length: 9, Logical clock: 675
2025-02-28 14:32:27 - Received message from Machine 2, Queue length: 9, Logical clock: 682
2025-02-28 14:32:27 - Received message from Machine 2, Queue length: 9, Logical clock: 685
2025-02-28 14:32:27 - Received message from Machine 2, Queue length: 9, Logical clock: 689
2025-02-28 14:32:27 - Received message from Machine 2, Queue length: 9, Logical clock: 693
2025-02-28 14:32:27 - Received message from Machine 2, Queue length: 9, Logical clock: 694
2025-02-28 14:32:27 - Received message from Machine 2, Queue length: 8, Logical clock: 697
2025-02-28 14:32:28 - Received message from Machine 2, Queue length: 7, Logical clock: 706
2025-02-28 14:32:28 - Received message from Machine 2, Queue length: 7, Logical clock: 717
2025-02-28 14:32:28 - Received message from Machine 2, Queue length: 6, Logical clock: 724
2025-02-28 14:32:28 - Received message from Machine 2, Queue length: 6, Logical clock: 732
2025-02-28 14:32:28 - Received message from Machine 2, Queue length: 6, Logical clock: 736
2025-02-28 14:32:28 - Received message from Machine 2, Queue length: 6, Logical clock: 738
2025-02-28 14:32:28 - Received message from Machine 2, Queue length: 6, Logical clock: 743
2025-02-28 14:32:28 - Received message from Machine 1, Queue length: 6, Logical clock: 744
2025-02-28 14:32:28 - Received message from Machine 1, Queue length: 6, Logical clock: 757
2025-02-28 14:32:28 - Received message from Machine 2, Queue length: 5, Logical clock: 763
2025-02-28 14:32:28 - Received message from Machine 1, Queue length: 5, Logical clock: 765
2025-02-28 14:32:28 - Received message from Machine 1, Queue length: 5, Logical clock: 772
2025-02-28 14:32:29 - Received message from Machine 2, Queue length: 4, Logical clock: 777
2025-02-28 14:32:29 - Received message from Machine 1, Queue length: 3, Logical clock: 779
2025-02-28 14:32:29 - Received message from Machine 2, Queue length: 2, Logical clock: 784
2025-02-28 14:32:29 - Received message from Machine 1, Queue length: 1, Logical clock: 791
2025-02-28 14:32:29 - Received message from Machine 1, Queue length: 0, Logical clock: 795
2025-02-28 14:32:29 - Internal event, Logical clock: 796
2025-02-28 14:32:29 - Received message from Machine 2, Queue length: 0, Logical clock: 824
2025-02-28 14:32:29 - Received message from Machine 2, Queue length: 0, Logical clock: 826
2025-02-28 14:32:29 - Received message from Machine 1, Queue length: 0, Logical clock: 830
2025-02-28 14:32:29 - Internal event, Logical clock: 831
2025-02-28 14:32:29 - Received message from Machine 1, Queue length: 0, Logical clock: 836
2025-02-28 14:32:29 - Received message from Machine 2, Queue length: 3, Logical clock: 840
2025-02-28 14:32:29 - Received message from Machine 2, Queue length: 3, Logical clock: 842
2025-02-28 14:32:30 - Received message from Machine 1, Queue length: 4, Logical clock: 843
2025-02-28 14:32:30 - Received message from Machine 2, Queue length: 3, Logical clock: 844
2025-02-28 14:32:30 - Received message from Machine 2, Queue length: 2, Logical clock: 845
2025-02-28 14:32:30 - Received message from Machine 2, Queue length: 2, Logical clock: 848
2025-02-28 14:32:30 - Received message from Machine 2, Queue length: 1, Logical clock: 849
2025-02-28 14:32:30 - Received message from Machine 2, Queue length: 0, Logical clock: 859
2025-02-28 14:32:30 - Received message from Machine 1, Queue length: 0, Logical clock: 871
2025-02-28 14:32:30 - Received message from Machine 1, Queue length: 0, Logical clock: 872
2025-02-28 14:32:30 - Received message from Machine 1, Queue length: 0, Logical clock: 876
2025-02-28 14:32:30 - Received message from Machine 1, Queue length: 2, Logical clock: 877
2025-02-28 14:32:30 - Received message from Machine 1, Queue length: 3, Logical clock: 884
2025-02-28 14:32:30 - Received message from Machine 2, Queue length: 2, Logical clock: 885
2025-02-28 14:32:31 - Received message from Machine 2, Queue length: 2, Logical clock: 886
2025-02-28 14:32:31 - Received message from Machine 2, Queue length: 2, Logical clock: 888
2025-02-28 14:32:31 - Received message from Machine 2, Queue length: 4, Logical clock: 896
2025-02-28 14:32:31 - Received message from Machine 1, Queue length: 5, Logical clock: 897
2025-02-28 14:32:31 - Received message from Machine 2, Queue length: 5, Logical clock: 900
2025-02-28 14:32:31 - Received message from Machine 2, Queue length: 6, Logical clock: 901
2025-02-28 14:32:31 - Received message from Machine 2, Queue length: 6, Logical clock: 903
2025-02-28 14:32:31 - Received message from Machine 1, Queue length: 6, Logical clock: 904
2025-02-28 14:32:31 - Received message from Machine 2, Queue length: 7, Logical clock: 905
2025-02-28 14:32:31 - Received message from Machine 2, Queue length: 9, Logical clock: 909
2025-02-28 14:32:31 - Received message from Machine 2, Queue length: 8, Logical clock: 913
2025-02-28 14:32:31 - Received message from Machine 1, Queue length: 8, Logical clock: 914
2025-02-28 14:32:31 - Received message from Machine 2, Queue length: 8, Logical clock: 917
2025-02-28 14:32:32 - Received message from Machine 2, Queue length: 8, Logical clock: 921
2025-02-28 14:32:32 - Received message from Machine 2, Queue length: 7, Logical clock: 925
2025-02-28 14:32:32 - Received message from Machine 1, Queue length: 8, Logical clock: 927
2025-02-28 14:32:32 - Received message from Machine 1, Queue length: 9, Logical clock: 929
